,field_1,LEGALLAND,Mer,TP,RG,Qrtsec,Section,Qrt,Series,Slope,OM,Name,Name_2,Name_3,Name_4,easting,northing,b1,b2,b3,b4,b5,b6,b7,ari,ari_noBareSoil,CRSI,CRSI_noBareSoil,NDVI_July_Aug,NDVI_July_Aug_noBareSoil,NDVI_Sept_Oct,NDVI_Sept_Oct_noBareSoil,NDVI_SD,SAVI_Jul_Aug,SAVI_Jul_Aug_noBareSoil,SAVI_Sept_Oct,SAVI_Sept_Oct_noBareSoil,dem_3x3_sd3x3,dem_3x3_sd5x5,dem_3x3_sd9x9,dem_3x3_sd21x21,dem_9x9_sd21x21,dem_9x9_sd101x101,dem_3x3_tri,dem_5x5_tri,dem_9x9_tri,dem_9x9_tri_20,precip,temperature,MidSlope_Pos_100m,Norm_Height_100m,Slope_Height_100m,Stand_Height_100m,SWI_100m,Valley_Depth_100m,precip_spring,precip_summer,temperature_high,MODIS_NDVI_May_Oct,MODIS_NDVI_May,MODIS_NDVI_June,MODIS_NDVI_July,MODIS_NDVI_Aug,MODIS_NDVI_Sept,MODIS_NDVI_Oct,MODIS_NDVI_SD,MODIS_NDVI_Max_Min,MODIS_NDVI_Max_Month
10,11,NE-01-38-20-2,W2,38,20,NE01,1,NE,OXA,M,7.7,OXBOW ORTHIC BLACK,,,,518652.9974,5788023.409,628.2143,845,995.25,1542.6364,2824.55,3000.1785,2587.125,1.9279546,2.4445984,0.81775707,0.8384198,0.533911,0.60236984,0.19838169,0.42601702,0.199699810820696,0.799469216253697,0.920269241556857,0.298408915309143,0.586707710233751,0.060821872,0.25859857,0.42896542,0.62163866,0.23706762,2.8439355,0.34245905,0.111613855,,0.107902646,525.6083,288.21375,0.12304657,0.4384767,2.878141,530.84766,10.664393,3.685813,141.389193772789,290.222285303501,4.804878,0.3341171,0.21702448,0.37904882,0.7364378,0.6004499,0.2984768,0.24022746,0.51941335,0.27221164,7
11,12,NE-01-38-20-2,W2,38,20,NE01,1,NE,OXH,L,6.3,OXBOW GLEYED CALCAREOUS,,,BLA,518652.9974,5788023.409,628.2143,845,995.25,1542.6364,2824.55,3000.1785,2587.125,1.9279546,2.4445984,0.81775707,0.8384198,0.533911,0.60236984,0.19838169,0.42601702,0.199699810820696,0.799469216253697,0.920269241556857,0.298408915309143,0.586707710233751,0.060821872,0.25859857,0.42896542,0.62163866,0.23706762,2.8439355,0.34245905,0.111613855,,0.107902646,525.6083,288.21375,0.12304657,0.4384767,2.878141,530.84766,10.664393,3.685813,141.389193772789,290.222285303501,4.804878,0.3341171,0.21702448,0.37904882,0.7364378,0.6004499,0.2984768,0.24022746,0.51941335,0.27221164,7
12,13,NE-01-38-20-2,W2,38,20,NE01,1,NE,MWF,D,9.5,,,,,518652.9974,5788023.409,628.2143,845,995.25,1542.6364,2824.55,3000.1785,2587.125,1.9279546,2.4445984,0.81775707,0.8384198,0.533911,0.60236984,0.19838169,0.42601702,0.199699810820696,0.799469216253697,0.920269241556857,0.298408915309143,0.586707710233751,0.060821872,0.25859857,0.42896542,0.62163866,0.23706762,2.8439355,0.34245905,0.111613855,,0.107902646,525.6083,288.21375,0.12304657,0.4384767,2.878141,530.84766,10.664393,3.685813,141.389193772789,290.222285303501,4.804878,0.3341171,0.21702448,0.37904882,0.7364378,0.6004499,0.2984768,0.24022746,0.51941335,0.27221164,7
13,14,NE-01-42-27-2,W2,42,27,NE01,1,NE,HDA,M,8.5,HOODOO ORTHIC BLACK,,,,449017.0278,5827049.153,566.5,764,907,1416.125,2728.5,2935.3,2538,2.1495302,2.6804466,0.83415794,0.84891933,0.60231155,0.64734846,0.2235557,0.40565664,0.200632867997486,0.90334400056373,0.97756828544797,0.336267626398683,0.599628066293325,1.2832185,2.3153706,3.3952801,6.2348666,5.943404,17.888008,3.199921,2.9217951,2.3032465,4.400581,509.41782,288.1377,0.30123308,0.34938344,2.5991611,412.0816,9.001789,4.816697,137.30448818807,281.504598216534,5.585366,0.42789704,0.25412878,0.48980013,0.75804305,0.62775147,0.40418643,0.29541922,0.50391424,0.27682447,7
14,15,NE-01-43-27-2,W2,43,27,NE01,1,NE,AVA,U,6.9,ALLUVIUM CHERNOZEMIC SOILS,,,,447116.7618,5836746.609,643.4091,884.5833,1044.1428,1577.6818,3031.077,3000.8333,2824.9167,2.0421262,2.9763994,0.8316082,0.8537867,0.581042,0.6956566,0.18642762,0.37738916,0.218521115554835,0.872381206290746,0.997440078480367,0.279605446105927,0.551998236465508,0.507399,0.6933857,0.88670933,1.151272,0.98160243,18.318413,0.77896404,0.59292394,0.5116673,0.87735283,510.50638,288.0891,0.48657706,0.25671145,3.31465,397.83978,10.440707,9.597318,137.140646930894,281.939852769448,5.3170733,0.38455927,0.23219769,0.3816133,0.7322713,0.68493956,0.36088416,0.2715904,0.5000736,0.2779924,7
15,16,NE-01-46-17-2,W2,46,17,NE01,1,NE,HHA,M,9.8,HOEY ORTHIC BLACK,,,,544915.6739,5865807.013,545.9375,738.05884,851.0714,1334.6818,2567.4285,2933.4736,2330.6875,2.7662063,3.3332489,0.8430741,0.85522777,0.6527794,0.68538964,0.20775619,0.5154548,0.230978998852022,0.979038850964731,1.03614114412518,0.309744525774036,0.612068476221975,0.6783255,0.9023297,1.1665759,1.5652274,1.5070902,3.60231,1.0042748,0.91334414,0.7933986,1.1454395,545.3137,288.06705,0.050231338,0.52511567,2.3252163,376.0421,8.131885,2.104976,143.703114936653,302.188664969361,4.731707,0.3632458,0.22787665,0.39279115,0.73195016,0.6504105,0.3141925,0.24408056,0.5040735,0.27849284,7
16,17,NE-01-46-17-2,W2,46,17,NE01,1,NE,MRB,L,10.2,MELFORT GLEYED BLACK,,,,544915.6739,5865807.013,545.9375,738.05884,851.0714,1334.6818,2567.4285,2933.4736,2330.6875,2.7662063,3.3332489,0.8430741,0.85522777,0.6527794,0.68538964,0.20775619,0.5154548,0.230978998852022,0.979038850964731,1.03614114412518,0.309744525774036,0.612068476221975,0.6783255,0.9023297,1.1665759,1.5652274,1.5070902,3.60231,1.0042748,0.91334414,0.7933986,1.1454395,545.3137,288.06705,0.050231338,0.52511567,2.3252163,376.0421,8.131885,2.104976,143.703114936653,302.188664969361,4.731707,0.3632458,0.22787665,0.39279115,0.73195016,0.6504105,0.3141925,0.24408056,0.5040735,0.27849284,7
17,18,NE-01-46-17-2,W2,46,17,NE01,1,NE,HHA,M,9.9,HOEY ORTHIC BLACK,,,,544915.6739,5865807.013,545.9375,738.05884,851.0714,1334.6818,2567.4285,2933.4736,2330.6875,2.7662063,3.3332489,0.8430741,0.85522777,0.6527794,0.68538964,0.20775619,0.5154548,0.230978998852022,0.979038850964731,1.03614114412518,0.309744525774036,0.612068476221975,0.6783255,0.9023297,1.1665759,1.5652274,1.5070902,3.60231,1.0042748,0.91334414,0.7933986,1.1454395,545.3137,288.06705,0.050231338,0.52511567,2.3252163,376.0421,8.131885,2.104976,143.703114936653,302.188664969361,4.731707,0.3632458,0.22787665,0.39279115,0.73195016,0.6504105,0.3141925,0.24408056,0.5040735,0.27849284,7
18,19,NE-01-46-17-2,W2,46,17,NE01,1,NE,TIB,L,6.4,TISDALE GLEYED DARK GRAY,,,,544915.6739,5865807.013,545.9375,738.05884,851.0714,1334.6818,2567.4285,2933.4736,2330.6875,2.7662063,3.3332489,0.8430741,0.85522777,0.6527794,0.68538964,0.20775619,0.5154548,0.230978998852022,0.979038850964731,1.03614114412518,0.309744525774036,0.612068476221975,0.6783255,0.9023297,1.1665759,1.5652274,1.5070902,3.60231,1.0042748,0.91334414,0.7933986,1.1454395,545.3137,288.06705,0.050231338,0.52511567,2.3252163,376.0421,8.131885,2.104976,143.703114936653,302.188664969361,4.731707,0.3632458,0.22787665,0.39279115,0.73195016,0.6504105,0.3141925,0.24408056,0.5040735,0.27849284,7
19,20,NE-01-46-17-2,W2,46,17,NE01,1,NE,MRA,U,5.7,MELFORT ORTHIC BLACK,,,,544915.6739,5865807.013,545.9375,738.05884,851.0714,1334.6818,2567.4285,2933.4736,2330.6875,2.7662063,3.3332489,0.8430741,0.85522777,0.6527794,0.68538964,0.20775619,0.5154548,0.230978998852022,0.979038850964731,1.03614114412518,0.309744525774036,0.612068476221975,0.6783255,0.9023297,1.1665759,1.5652274,1.5070902,3.60231,1.0042748,0.91334414,0.7933986,1.1454395,545.3137,288.06705,0.050231338,0.52511567,2.3252163,376.0421,8.131885,2.104976,143.703114936653,302.188664969361,4.731707,0.3632458,0.22787665,0.39279115,0.73195016,0.6504105,0.3141925,0.24408056,0.5040735,0.27849284,7
20,21,NE-01-46-17-2,W2,46,17,NE01,1,NE,MRA,,2,MELFORT ORTHIC BLACK,,,,544915.6739,5865807.013,545.9375,738.05884,851.0714,1334.6818,2567.4285,2933.4736,2330.6875,2.7662063,3.3332489,0.8430741,0.85522777,0.6527794,0.68538964,0.20775619,0.5154548,0.230978998852022,0.979038850964731,1.03614114412518,0.309744525774036,0.612068476221975,0.6783255,0.9023297,1.1665759,1.5652274,1.5070902,3.60231,1.0042748,0.91334414,0.7933986,1.1454395,545.3137,288.06705,0.050231338,0.52511567,2.3252163,376.0421,8.131885,2.104976,143.703114936653,302.188664969361,4.731707,0.3632458,0.22787665,0.39279115,0.73195016,0.6504105,0.3141925,0.24408056,0.5040735,0.27849284,7
21,22,NE-02-03-02-3,W3,3,2,NE02,2,NE,WMA,U,7.1,WOOD MOUNTAIN ORTHIC BROWN,,,,414768.0565,5448754.88,753.3333,1104.25,1325.5,2021,3260.875,3001.4473,2818.25,1.0884175,1.523933,0.7730664,0.809042,0.3458936,0.5525682,0.24015248,0.4062913,0.142103925583952,0.518422223956874,0.690431610854832,0.360526571089029,0.568456982636987,0.42938355,1.2224463,4.7173967,7.819194,6.556607,24.722307,3.831666,3.6274416,3.374673,6.1726656,476.45087,289.22098,0.7204704,0.13976477,2.1702795,699.329,11.465855,13.356583,148.550367677524,254.857638554865,20.463415,0.49578238,0.4629269,0.6118128,0.59690654,0.48704907,0.4308262,0.37706366,0.23474911,0.23816761,6
22,23,NE-02-03-02-3,W3,3,2,NE02,2,NE,BYA,L,7.8,BIRSAY ORTHIC BROWN,,,,414768.0565,5448754.88,753.3333,1104.25,1325.5,2021,3260.875,3001.4473,2818.25,1.0884175,1.523933,0.7730664,0.809042,0.3458936,0.5525682,0.24015248,0.4062913,0.142103925583952,0.518422223956874,0.690431610854832,0.360526571089029,0.568456982636987,0.42938355,1.2224463,4.7173967,7.819194,6.556607,24.722307,3.831666,3.6274416,3.374673,6.1726656,476.45087,289.22098,0.7204704,0.13976477,2.1702795,699.329,11.465855,13.356583,148.550367677524,254.857638554865,20.463415,0.49578238,0.4629269,0.6118128,0.59690654,0.48704907,0.4308262,0.37706366,0.23474911,0.23816761,6
23,24,NE-02-08-07-3,W3,8,7,NE02,2,NE,APA,M,9.4,ANTELOPE ORTHIC REGOSOL,,,,366709.3278,5498216.351,,,,,,,,0.8094346,1.0692121,0.734181,0.7638372,0.3148056,0.3997846,0.24663907,0.35655162,0.094439312915585,0.471742435107637,0.594574416928025,0.369321533923304,0.52984683392834,0.84506845,1.0757132,1.6055644,4.638072,4.5090423,18.869698,1.5765766,1.2094146,1.0362318,2.849699,478.49997,288.78864,0.30132198,0.650661,4.3025827,735.19885,7.911008,2.3095431,149.371599091762,258.787240288704,17.09756,0.4158405,0.45864683,0.50587064,0.44880798,0.37204728,0.34187427,0.3205776,0.18529305,0.19008592,6
24,25,NE-02-08-07-3,W3,8,7,NE02,2,NE,HTA,U,3.8,HATTON ORTHIC BROWN,,,,366709.3278,5498216.351,,,,,,,,0.8094346,1.0692121,0.734181,0.7638372,0.3148056,0.3997846,0.24663907,0.35655162,0.094439312915585,0.471742435107637,0.594574416928025,0.369321533923304,0.52984683392834,0.84506845,1.0757132,1.6055644,4.638072,4.5090423,18.869698,1.5765766,1.2094146,1.0362318,2.849699,478.49997,288.78864,0.30132198,0.650661,4.3025827,735.19885,7.911008,2.3095431,149.371599091762,258.787240288704,17.09756,0.4158405,0.45864683,0.50587064,0.44880798,0.37204728,0.34187427,0.3205776,0.18529305,0.19008592,6
25,26,NE-02-12-17-3,W3,12,17,NE02,2,NE,SNA,M,3.6,SWINTON ORTHIC BROWN,,,,269288.7419,5540416.066,859.3182,1235.5,1516.3,2232.389,3401.2666,3015.4124,2968.1667,0.9747149,1.7830718,0.75607747,0.82492393,0.2567631,0.5626019,0.14975199,0.33282667,0.152811237759255,0.383279789707205,0.778880643532712,0.223811299463042,0.521349256432304,1.8209674,2.1239204,2.6737556,3.546403,2.860501,14.137808,2.4408643,2.1958997,1.9682903,3.0507233,458.2226,288.63144,0.17582487,0.44389984,1.936694,683.41187,7.396797,2.4940922,142.963985768751,243.603000244903,16.146341,0.27687338,0.20605533,0.37329322,0.7322002,0.36777404,0.22984026,0.20017642,0.5320238,0.24266252,7
26,27,NE-02-22-10-3,W3,22,10,NE02,2,NE,CHA,M,1.7,CHAPLIN ORTHIC BROWN,,,,339462.3349,5635083.568,883.2692,1259.7727,1511.25,2118.4285,3241,3015.5112,2792,0.9323863,1.2610673,0.7523434,0.7876273,0.3001803,0.43660158,0.25642255,0.39608878,0.130157768163121,0.45132738855766,0.66693573972084,0.385743274850787,0.559718986321578,0.7845041,1.2666497,2.1205258,3.2203245,2.5694907,16.339315,1.6982656,1.5706376,1.292062,1.9532218,464.6394,288.79065,0.4190508,0.7095254,4.4077477,606.167,8.118114,1.8029213,136.056762736183,253.512112361873,14.219512,0.44117662,0.44768205,0.5804586,0.5018331,0.42733374,0.41204,0.34947953,0.23097906,0.23281991,6
27,28,NE-02-37-27-2,W2,37,27,NE02,2,NE,HOA,M,6.3,HOODOO ORTHIC BLACK,,,,448885.5492,5778514.497,658,924.25,1094,1672.9,2681.5,2949.7,2327,1.5869147,2.1477642,0.8081274,0.8339911,0.52638537,0.63543427,0.19858578,0.37904602,0.183857774652654,0.787286705823702,0.924489930035118,0.298120443274853,0.578606434077001,0.8853834,1.273002,1.967554,2.0064363,1.5076845,6.764561,1.650426,1.3800309,1.0406214,1.4293888,497.49994,288.3769,0.3160383,0.34198084,1.8768873,515.14056,8.571476,3.6670842,135.494163527859,274.44916174192,7.195122,0.3727989,0.23456086,0.46349543,0.7791884,0.59134245,0.3220485,0.2602776,0.54462755,0.27759254,7
28,29,NE-02-37-27-2,W2,37,27,NE02,2,NE,HOA,L,6.2,HOODOO ORTHIC BLACK,,,,448885.5492,5778514.497,658,924.25,1094,1672.9,2681.5,2949.7,2327,1.5869147,2.1477642,0.8081274,0.8339911,0.52638537,0.63543427,0.19858578,0.37904602,0.183857774652654,0.787286705823702,0.924489930035118,0.298120443274853,0.578606434077001,0.8853834,1.273002,1.967554,2.0064363,1.5076845,6.764561,1.650426,1.3800309,1.0406214,1.4293888,497.49994,288.3769,0.3160383,0.34198084,1.8768873,515.14056,8.571476,3.6670842,135.494163527859,274.44916174192,7.195122,0.3727989,0.23456086,0.46349543,0.7791884,0.59134245,0.3220485,0.2602776,0.54462755,0.27759254,7
29,30,NE-02-37-27-2,W2,37,27,NE02,2,NE,OXC,U,1.9,OXBOW CALCAREOUS BLACK,,,,448885.5492,5778514.497,658,924.25,1094,1672.9,2681.5,2949.7,2327,1.5869147,2.1477642,0.8081274,0.8339911,0.52638537,0.63543427,0.19858578,0.37904602,0.183857774652654,0.787286705823702,0.924489930035118,0.298120443274853,0.578606434077001,0.8853834,1.273002,1.967554,2.0064363,1.5076845,6.764561,1.650426,1.3800309,1.0406214,1.4293888,497.49994,288.3769,0.3160383,0.34198084,1.8768873,515.14056,8.571476,3.6670842,135.494163527859,274.44916174192,7.195122,0.3727989,0.23456086,0.46349543,0.7791884,0.59134245,0.3220485,0.2602776,0.54462755,0.27759254,7
30,31,NE-02-38-20-3,W3,38,20,NE02,2,NE,STA,M,5.3,SCOTT ORTHIC DARK BROWN,,,,244215.0103,5794550.26,821.8889,1124.6428,1372.3182,2087.5,3351.6667,2984.0916,2969.9443,1.2544868,1.961896,0.7918838,0.8264245,0.41670308,0.61326593,0.19084021,0.32923254,0.172018566953161,0.626673178196897,0.8607947968148,0.286219823489712,0.53434039980132,0.12537083,0.33160177,0.5467202,1.2418264,1.1338335,1.6475273,0.5510467,0.5429874,0.6056893,1.29957,452.85153,288.00916,0.71223986,0.85611993,9.395733,648.04364,9.799384,1.579053,123.351137488478,250.063452220616,7.219512,0.2770898,0.21385996,0.3955763,0.758496,0.5252523,0.2605047,0.23133674,0.544636,0.26833937,7
31,32,NE-02-38-26-2,W2,38,26,NE02,2,NE,EWD,L,6.8,ELSTOW REGO DARK BROWN,,,,458733.2274,5788132.859,729.125,1003.3333,1155,1739.375,2729.4,2999.1538,2421.8,1.415665,1.9186761,0.79420936,0.8219778,0.4815673,0.60252917,0.20393343,0.3962898,0.181874154967376,0.724301317993585,0.876177272868465,0.305602668705155,0.54778842970563,0.561653,0.7677731,1.2379586,3.486466,2.174172,7.260641,1.1386492,1.0244317,0.8260661,1.5954981,504.42206,288.2816,0.2120874,0.3939563,2.9610612,517.61914,9.044006,4.5551567,136.952872374617,278.637507202968,6.5609756,0.34139916,0.21010262,0.33416578,0.75213975,0.59489226,0.31853157,0.25728968,0.5420371,0.27368197,7
32,33,NE-02-40-25-2,W2,40,25,NE02,2,NE,HDA,U,6.5,HOODOO ORTHIC BLACK,,,,466749.4311,5807488.933,733.25,1043.2084,1235.75,1863.5714,3017.1924,2983.8298,2651.0625,2.274757,2.755115,0.8336018,0.8464972,0.58901036,0.67261213,0.20345284,0.34578317,0.203851523737891,0.883842468190556,0.9698141314624,0.305383490699748,0.550552805538577,0.77344286,0.9578835,1.3445929,2.2932951,1.9411396,14.358319,1.2231643,1.021457,0.8959046,1.4409899,512.4438,288.1696,0.14293721,0.57146865,2.3687997,549.3503,7.9125347,1.7781184,138.501336634338,283.388808804536,5.780488,0.37075502,0.21317524,0.3658862,0.74362785,0.65469027,0.33410898,0.26379934,0.5304526,0.27568266,7
33,34,NE-02-40-25-2,W2,40,25,NE02,2,NE,HOD,U,2.8,HOODOO REGO BLACK,,,,466749.4311,5807488.933,733.25,1043.2084,1235.75,1863.5714,3017.1924,2983.8298,2651.0625,2.274757,2.755115,0.8336018,0.8464972,0.58901036,0.67261213,0.20345284,0.34578317,0.203851523737891,0.883842468190556,0.9698141314624,0.305383490699748,0.550552805538577,0.77344286,0.9578835,1.3445929,2.2932951,1.9411396,14.358319,1.2231643,1.021457,0.8959046,1.4409899,512.4438,288.1696,0.14293721,0.57146865,2.3687997,549.3503,7.9125347,1.7781184,138.501336634338,283.388808804536,5.780488,0.37075502,0.21317524,0.3658862,0.74362785,0.65469027,0.33410898,0.26379934,0.5304526,0.27568266,7
34,35,NE-02-40-25-2,W2,40,25,NE02,2,NE,HMA,L,4.3,HAMLIN ORTHIC BLACK,,,,466749.4311,5807488.933,733.25,1043.2084,1235.75,1863.5714,3017.1924,2983.8298,2651.0625,2.274757,2.755115,0.8336018,0.8464972,0.58901036,0.67261213,0.20345284,0.34578317,0.203851523737891,0.883842468190556,0.9698141314624,0.305383490699748,0.550552805538577,0.77344286,0.9578835,1.3445929,2.2932951,1.9411396,14.358319,1.2231643,1.021457,0.8959046,1.4409899,512.4438,288.1696,0.14293721,0.57146865,2.3687997,549.3503,7.9125347,1.7781184,138.501336634338,283.388808804536,5.780488,0.37075502,0.21317524,0.3658862,0.74362785,0.65469027,0.33410898,0.26379934,0.5304526,0.27568266,7
